,followersCount,followsCount,highlightReelCount,postsCount,med_likes,status,user_digits,full_len,full_characters,full_digits,bio_len,bio_emojis
96,47.0,1600.0,0.0,5.0,0.0,0,0,4,0,0,0,0
97,205.0,315.0,2.0,43.0,28.0,1,1,21,1,0,0,0
98,548701.0,2558.0,4.0,1835.0,4217.0,1,0,6,0,0,5,1
99,16797.0,1753.0,5.0,45.0,99.0,1,0,12,0,0,34,2
100,985.0,729.0,0.0,7.0,,0,0,7,0,0,82,2
101,494.0,388.0,1.0,49.0,29.0,1,0,17,0,0,57,2
102,1709782.0,1272.0,10.0,563.0,27647.0,1,0,12,0,0,132,1
103,45.0,442.0,0.0,4.0,1.0,0,0,0,0,0,0,0
104,1030.0,933.0,0.0,2.0,137.5,0,4,0,0,0,2,0
105,244.0,6259.0,0.0,5.0,,0,3,0,0,0,0,0
106,141.0,6130.0,0.0,10.0,5.5,0,3,0,0,0,0,0
107,3485750.0,2763.0,2.0,1236.0,3892.0,1,0,14,0,0,127,0
108,281.0,214.0,0.0,0.0,,1,0,13,0,0,115,1
109,869.0,765.0,0.0,0.0,,1,0,13,0,0,1,1
110,695.0,6626.0,0.0,19.0,,0,8,8,0,0,0,0
111,483.0,464.0,0.0,3.0,,1,0,14,0,0,76,1
112,100.0,6078.0,0.0,4.0,6.0,0,2,0,0,0,0,0
113,1715.0,563.0,5.0,121.0,41.5,1,0,6,1,0,100,5
114,66.0,35.0,0.0,0.0,,0,4,0,0,0,0,0
115,811.0,723.0,6.0,10.0,151.0,1,0,20,0,0,37,0
116,64.0,743.0,0.0,4.0,,0,1,6,6,0,0,0
117,2327173.0,1026.0,1.0,11001.0,3530.0,1,0,19,0,0,89,0
118,66.0,5088.0,0.0,22.0,0.0,0,4,0,0,0,0,0
119,845.0,944.0,0.0,6.0,,1,0,14,0,0,96,3
120,46.0,246.0,0.0,22.0,0.0,0,2,0,0,0,0,0
121,77.0,3080.0,1.0,4.0,6.0,0,0,12,11,0,51,2
122,76.0,1846.0,0.0,23.0,0.0,0,9,0,0,0,0,0
123,978.0,901.0,0.0,66.0,132.0,1,0,18,0,0,95,0
124,0.0,0.0,0.0,0.0,,0,3,0,0,0,0,0
125,2929.0,1245.0,23.0,187.0,83.0,1,0,29,26,0,129,2
126,438.0,87.0,0.0,49.0,31.0,1,0,13,0,0,66,0
127,2575862.0,142.0,3.0,299.0,14819.5,1,0,15,0,0,34,2
128,61949.0,277.0,7.0,30.0,9195.0,1,0,16,0,0,68,3
129,1588.0,1279.0,13.0,126.0,28.0,1,0,22,0,0,58,3
130,48.0,703.0,0.0,0.0,,0,4,13,13,0,6,2
131,3307728.0,1927.0,16.0,801.0,35825.0,1,0,19,1,0,141,10
